Episodio,Titulo,Votos,Rating,F.Transmisión
1.1,Winter Is Coming,39864,9.1,17 Apr. 2011
1.2,The Kingsroad,30232,8.8,15 May 2011
1.3,Lord Snow,28586,8.7,1 May 2011
1.4,"Cripples, Bastards, and Broken Things",27129,8.8,8 May 2011
1.5,The Wolf and the Lion,28237,9.1,15 May 2011
1.6,A Golden Crown,27943,9.2,22 May 2011
1.7,You Win or You Die,28439,9.2,29 May 2011
1.8,The Pointy End,26496,9.0,5 Jun. 2011
1.9,Baelor,37366,9.6,12 Jun. 2011
1.10,Fire and Blood,32805,9.5,19 Jun. 2011
2.1,The North Remembers,25615,8.8,1 Apr. 2012
2.2,The Night Lands,24198,8.5,8 Apr. 2012
2.3,What Is Dead May Never Die,23914,8.8,15 Apr. 2012
2.4,Garden of Bones,23138,8.8,22 Apr. 2012
2.5,The Ghost of Harrenhal,23325,8.8,29 Apr. 2012
2.6,The Old Gods and the New,24366,9.1,6 May 2012
2.7,A Man Without Honor,23725,8.9,13 May 2012
2.8,The Prince of Winterfell,23443,8.8,20 May 2012
2.9,Blackwater,40805,9.7,27 May 2012
2.10,Valar Morghulis,28931,9.4,3 Jun. 2012
3.1,Valar Dohaeris,25517,8.8,31 Mar. 2013
3.2,"Dark Wings, Dark Words",23158,8.6,7 Apr. 2013
3.3,Walk of Punishment,23391,8.9,14 Apr. 2013
3.4,And Now His Watch Is Ended,31866,9.6,21 Apr. 2013
3.5,Kissed by Fire,23838,9.0,28 Apr. 2013
3.6,The Climb,23710,8.8,5 May 2013
3.7,The Bear and the Maiden Fair,22925,8.7,12 May 2013
3.8,Second Sons,23511,9.0,19 May 2013
3.9,The Rains of Castamere,89084,9.9,2 Jun. 2013
3.10,Mhysa,26587,9.2,9 Jun. 2013
4.1,Two Swords,30024,9.1,6 Apr. 2014
4.2,The Lion and the Rose,46942,9.7,13 Apr. 2014
4.3,Breaker of Chains,25417,8.9,20 Apr. 2014
4.4,Oathkeeper,24422,8.8,27 Apr. 2014
4.5,First of His Name,23649,8.8,4 May 2014
4.6,The Laws of Gods and Men,43519,9.7,11 May 2014
4.7,Mockingbird,26307,9.1,18 May 2014
4.8,The Mountain and the Viper,47059,9.7,1 Jun. 2014
4.9,The Watchers on the Wall,39739,9.6,8 Jun. 2014
4.10,The Children,39075,9.7,15 Jun. 2014
5.1,The Wars to Come,26737,8.5,12 Apr. 2015
5.2,The House of Black and White,23675,8.5,19 Apr. 2015
5.3,High Sparrow,22951,8.5,26 Apr. 2015
5.4,Sons of the Harpy,23551,8.7,3 May 2015
5.5,Kill the Boy,23826,8.6,10 May 2015
5.6,"Unbowed, Unbent, Unbroken",26938,8.0,17 May 2015
5.7,The Gift,25998,9.0,24 May 2015
5.8,Hardhome,88777,9.9,31 May 2015
5.9,The Dance of Dragons,39011,9.5,7 Jun. 2015
5.10,Mother's Mercy,37810,9.1,14 Jun. 2015
6.1,The Red Woman,36584,8.5,24 Apr. 2016
6.2,Home,42997,9.4,1 May 2016
6.3,Oathbreaker,30792,8.7,8 May 2016
6.4,Book of the Stranger,33127,9.1,15 May 2016
6.5,The Door,64763,9.7,22 May 2016
6.6,Blood of My Blood,30600,8.4,29 May 2016
6.7,The Broken Man,29732,8.6,5 Jun. 2016
6.8,No One,33800,8.4,12 Jun. 2016
6.9,Battle of the Bastards,187926,9.9,19 Jun. 2016
6.10,The Winds of Winter,130965,9.9,26 Jun. 2016
7.1,Dragonstone,47088,8.6,16 Jul. 2017
7.2,Stormborn,40697,8.9,23 Jul. 2017
7.3,The Queen's Justice,42434,9.2,30 Jul. 2017
7.4,The Spoils of War,80413,9.8,6 Aug. 2017
7.5,Eastwatch,40483,8.8,13 Aug. 2017
7.6,Beyond the Wall,59031,9.0,20 Aug. 2017
7.7,The Dragon and the Wolf,58618,9.4,27 Aug. 2017
